DwName,VizPic,Link,WeekNumber,RealName
peterempey,,,1,Peter Empey
pamelagermain,,https://public.tableau.com/profile/pamela.germain#!/vizhome/U_S_PoultryandLivestockConsumption/U_SPerCapitaConsumption,1,Pamela Germain
vizwiz,,https://data.world/pamelagermain,1,Andy Kriebel
vizwiz,,https://public.tableau.com/views/PoultryandLivestockConsumption/MMW1?:embed=y&:display_count=yes&publish=yes,1,Andy Kriebel
markbradbourne,,https://public.tableau.com/views/PoultryandBeefConsumptionintheUnitedStates/PoultryandBeefConsumptionintheUSA?:embed=y&:display_count=yes&publish=yes,1,Mark Bradbourne
peterempey,,https://public.tableau.com/profile/peter.empey#!/vizhome/week1USMeatConsumption/50YearsofMeatConsumption?publish=yes,1,Peter Empey
umarhassan,,https://public.tableau.com/profile/umar.hassan#!/vizhome/MakeoverMonday2018-Week1-Broilerconsumption/MakeoverMonday2018-Week1,1,Umar Hassan
evamurray,,https://public.tableau.com/profile/eva.murray#!/vizhome/MeatconsumptionintheUS/Redmeatandpoultry,1,Eva Murray
charliehtableau,,https://public.tableau.com/profile/charlie.hutcheson#!/vizhome/MakeoverMondayChickenv2/Dashboard1?publish=yes,1,Charlie Hutcheson
leecarter,,https://public.tableau.com/views/MakeoverMonday20181U_S_PerCapitaConsumptionofPoultryandLivestock/Dashboard1?:embed=y&:display_count=yes&publish=yes,1,Lee Carter
knhinson,,https://goo.gl/1XztHA,1,Karen Hinson
sergey-yasinov,,https://public.tableau.com/profile/sergey8076#!/vizhome/PoultryRedMeatconsumption/Dashboard1?publish=yes,1,Sergey Yasinov
robcrock,,,1,Robert Crocker
scuttlemonkey,,https://data.world/robcrock,1,Patrick McGarry
mikevizneros,,https://public.tableau.com/views/eat-more-chicken/NoLongerRedWhiteandBlue?:embed=y&:display_count=yes&publish=yes,1,Michael Cisneros
brentmathison,,https://public.tableau.com/views/MakeoverMonday2018w01MeatConsumption/Consumption?:embed=y&:display_count=yes&publish=yes,1,Brent Mathison
robcrock,,https://public.tableau.com/views/PoultryConsumption_0/Week1?:embed=y&:display_count=yes,1,Robert Crocker
robcrock,,,1,Robert Crocker
cklimas,,https://public.tableau.com/views/MM_Week1-18_USMeatConsumption/MeatConsumptionintheUS?:embed=y&:display_count=yes&publish=yes,1,Charis Klimas
dequanharrison,,https://public.tableau.com/profile/dequan.harrison5109#!/vizhome/MakeoverMondayWeek1_2/PoultryLivestock?publish=yes,1,DeQuan Harrison
kcmillersean,,https://data.world/robcock,1,Sean Miller
vizinq,,https://public.tableau.com/views/2018MakeoverMondayWeek1-USMeatConsumption/Dashboard1?:embed=y&:display_count=yes,1,Nick
tableauing,,https://t.co/g6P2zItJJ5,1,Rodrigo Calloni
dataanne,,https://public.tableau.com/views/U_S_PerCapitaMeatConsumption/MeatConsumption?:embed=y&:display_count=yes,1,Anne Drake
tableauing,,https://public.tableau.com/views/ChickenconsumptionpercapitaintheUSAisontheriseMakeoverMonday/ChickenconsumptionpercapitaintheUSAisontherise?:embed=y&:display_count=yes&publish=yes,1,Rodrigo Calloni
robcrock,,https://data.world/peterempey,1,Robert Crocker
takazi24,,https://public.tableau.com/profile/tausif.kazi#!/vizhome/MM2018-WK1/MM2018-W1,1,Tausif
vizwiz,,https://data.world/scuttlemonkey,1,Andy Kriebel
scuttlemonkey,,https://data.world/vizwiz,1,Patrick McGarry
ltavernier,,,1,Ludovic Tavernier
vizwiz,,https://www.datawrapper.de/,1,Andy Kriebel
scuttlemonkey,,https://data.world/ltavernier,1,Patrick McGarry
ltavernier,,https://data.world/scuttlemonkey,1,Ludovic Tavernier
vizwiz,,https://infogr.am/app/#/home,1,Andy Kriebel
curtisharris7,,https://public.tableau.com/views/MeatConsumptionintheUS/MeatConsumptionintheUS?:embed=y&:display_count=yes,1,Curtis Harris
peterempey,,https://data.world/robcrock,1,Peter Empey
marcsoares,,https://datastudio.google.com/open/1HXWLFWW30QqmPjnixHP1uUCY-srfsBYZ,1,Marc Soares
sya,,https://data.world/marcosoares,1,Selene Arrazolo
kcmillersean,,https://public.tableau.com/profile/kcmillersean#!/vizhome/ChickenisKing/ChickensRule?publish=yes,1,Sean Miller
scuttlemonkey,,https://data.world/kcmillersean,1,Patrick McGarry
kcmillersean,,,1,Sean Miller
vizwiz,,https://data.world/sya,1,Andy Kriebel
sya,,https://data.world/vizwiz,1,Selene Arrazolo
vizwiz,,https://data.world/marcsoares,1,Andy Kriebel
mesum,,https://datastudio.google.com/embed/reporting/1cP8wO0kzJ_nJy427umpZIZDdw23Hk7Mj/page/vnsL,1,Mesum Raza Hemani
mesum,,https://data.world/sya,1,Mesum Raza Hemani
scuttlemonkey,,https://data.world/mesum,1,Patrick McGarry
vizwiz,,https://data.world/scuttlemonkey,1,Andy Kriebel
sarahlovesdata,,https://public.tableau.com/views/TheUnstoppableRiseoftheHumbleChicken/ChickenDemandisRising?:embed=y&:display_count=yes,1,Sarah Bartlett
vizwiz,,https://datastudio.google.com/embed/u/0/reporting/1FihV910x3TYESsb11lisb6oMVMdgX7ci/page/JxsL,1,Andy Kriebel
marcsoares,,https://data.world/vizwiz,1,Marc Soares
mahfooj,,https://public.tableau.com/views/USAMeatConsumption/USAMeatConsumption?:embed=y&:display_count=yes&publish=yes,1,Mahfooj Khan
annjackson,,https://public.tableau.com/views/TheDwindlingProteinGapMakeoverMonday2018Week1/TheDwindlingProteinGapMakeoverMondayWeek1?:embed=y,1,Ann Jackson
jenningp,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/fa95321bb710953426dfe72563ca18c169a9c231.png,https://public.tableau.com/views/USPoultryandLivestockConsumption/ConsumptionDashboard?:embed=y&:display_count=yes&publish=yes,1,Paula Jennings
simonbeaumont04,,https://public.tableau.com/profile/simon.beaumont#!/vizhome/MakeoverMonday-2018Week1USMeatConsumptionPerCapita/MakeoverMonday-2018Week1USMeatConsumptionPerCapita,1,Simon Beaumont
regiso,,https://public.tableau.com/profile/regis.o.connor#!/vizhome/MakeoverMondayJanuary12018-ConsumptionofPoultry/Dashboard1,1,Regis Maria O'Connor
kranetr,,https://public.tableau.com/views/Farm_0/Main?:embed=y&:display_count=yes&:toolbar=no,1,troy Kranendonk
susanjg1,,https://public.tableau.com/profile/susan.glass5813#!/vizhome/USMeatConsumption/USMeatConsumption?publish=yes,1,Susan Glass
tdevi,,https://public.tableau.com/profile/tripti4377#!/vizhome/Makeovermonday_2018/Dashboard1,1,TRIPTI DEVI
heathermurphy,,https://data.world/peterempey,1,Heather Murphy
abh8017,,https://public.tableau.com/profile/abhijit.singh5502#!/vizhome/Make_Over_Monday/Sheet1?publish=yes,1,abhijit singh
