Name,VizPic,Link
@vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4f21347e2e7b3c2a4159c2d4c3e2a2f49e8bddbe.jpg,
@lunarmodule7,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/fb8dd0713f03d72e8906adab5a7a51ab164d1830.jpg,https://public.tableau.com/views/Top10ChocolateBars/1?:embed=y&:display_count=yes&publish=yes
@charliehtableau,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/e/e2d198550ab90d495a2511cd8c696ff7c9756729.jpg,
@simonbeaumont04,,https://public.tableau.com/profile/simon.beaumont#!/vizhome/MakeoverMonday-2018Week13WhatistheUKsfavouritechocolate/MakeoverMonday-2018Week13WhatistheUKsfavoritechocolatebar
@leecarter,https://pbs.twimg.com/media/DZJKGHkWsAAu4Ym.jpg:large,
@chuxiu0,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a63f1c44553101242e6255ef4e1b0547688eec32.png,
@soarryan,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/35d933a06ec403f228467ca64d68dccab4ece667.png,https://public.tableau.com/profile/ryansoares#!/vizhome/TheUKsFavourateChocolateBars/UKChocolate?publish=yes
@willbidstrup,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/943965313b51f4c5946afcd2ec6822a7412c6e17.jpg,
@pfiya,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/6/6a137dcce2043a5ef1e464e71a93459fea519ea6.png,https://public.tableau.com/profile/afyia.miller1211#!/vizhome/UKsTop10ChocolateProducts/Dashboard1?publish=yes
@adiw1202,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/3f7cbfc6b841fff1bea0f74074b081476c59181f.jpg,https://public.tableau.com/views/Chocolate_6/UKFavoriteChocolateBars?:embed=y&:display_count=yes
@datapanda,https://pbs.twimg.com/media/DZKcEy9U0AArRUu.jpg:large,https://goo.gl/7vQAY7
@ali-motion,https://pbs.twimg.com/media/DZKhbVtXkAAPkS6.jpg:large,https://public.tableau.com/profile/ali.motion#!/vizhome/UKfavouriteChocolate/UKsfavouriteChocolate
@rgauna,https://pbs.twimg.com/media/DZKX5NQU8AA3NXs.jpg:large,https://public.tableau.com/profile/rgauna#!/vizhome/WhatistheUKsFavoriteChocolateBar/D_ChocolateUK
@rgauna,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/b64adb762ba3c3df94a4d2cd04ba74d5742ecdae.jpg,https://public.tableau.com/profile/rgauna#!/vizhome/WhatistheUKsFavoriteChocolateBar/D_ChocolateUK
@regiso,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/e/e145e6a59b422f03621f8dfb3e2910c325497fc2.jpg,
@yanningwang,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a9fe4fc65049237ef451de8ad268dba99e10b44f.jpg,https://public.tableau.com/views/MM2018Week13/YW?:embed=y&:display_count=yes
@markbradbourne,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/9204da0e20a28a19867960bf02753e47ce604623.jpg,
@greyram,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/5/517dd84821db1148be2e486b7e82e60628670f0b.png,https://public.tableau.com/views/MM2018Wk13_candybar/ChocoBars?:embed=y&:display_count=yes
@md9845,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/90ecd6e1d844de89172a03749bc433c53b4d5ac4.jpg,https://goo.gl/gonvmb
@blueboyracer,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f1d5133bd9a5c3290eff9bfda30c50af6ed8be50.png,https://public.tableau.com/views/2018W13WhatistheUKsfavoritechocolatebar/Dashboard1?:embed=y&:display_count=yes&publish=yes
@sezbee,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/d/d0a1156fa9b4bba8996450ae7ae3b5b0362194cd.jpg,https://public.tableau.com/profile/sarah.burnett#!/vizhome/CadburyDairyBarRankUK/CadburyDiaryMilk?publish=yes
@louisarcher,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/7/7c2b6d347d348b01d63ae7f06990173c9c04c6ba.png,https://public.tableau.com/profile/louisarcher#!/vizhome/MakeoverMonday2018Week13_0/TheUKsFavouriteChocolateBars
@yasincanparlak,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/abfa55920668c18904a72cbedfce78c70b5d8ba0.png,https://public.tableau.com/profile/yasin.can.parlak#!/vizhome/U_K_sFavouriteChocolateBar/Chocolate
@beccajune,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/b2259b8f68cc86ba7549172461d49cada2e09123.PNG,
@zendoll27,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/6/62a4764376f646efa70228002151dc30192de867.jpg,https://t.co/hfooAgngrX
@tushar-more,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/8/877606f0134b053ade67f9774bf80839d47d5f87.png,
@waddydbaddy,https://pbs.twimg.com/media/DZOqrWBVMAAheCe.jpg:large,https://public.tableau.com/profile/soham.wadekar#!/vizhome/MakeoverMondayUKChocolateBars/MakeoverMondayUKChocolateBars?publish=yes
@rahul0404,,
